,﻿
劌,guì
劍,jiàn
劎,jiàn
劏,tāng
劑,jì
劒,jiàn
劔,jiàn
劕,zhì
劖,chán
劗,jiǎn
劘,mó
劙,lí
劚,zhú
劜,yà
劤,jìn
劥,kēng
劦,xié
劧,zhǐ
劮,yì
劯,zhū
劰,mò
労,láo
劵,juàn
劶,kǒu
劷,yáng
劸,wā
効,xiào
劺,móu
劻,kuāng
劼,jié
劽,liè
勀,kè
勁,jìn
勂,gào
勄,mǐn
勅,chì
勆,láng
勈,yǒng
勊,kè
勌,juàn
勍,qíng
勎,lù
勏,bù
勑,chì
勓,kài
勔,miǎn
動,dòng
勗,xù
務,wù
勚,yì
勛,xūn
勜,wěng
勝,shèng
勞,láo
勠,lù
勡,piào
勢,shì
勣,jī
勥,jiàng
勦,chāo
勧,quàn
勨,xiàng
勩,yì
勪,jué
勫,fān
勬,juān
勭,tóng
勮,jù
勯,dān
勱,mài
勲,xūn
勳,xūn
勴,lǜ
勵,lì
勶,chè
勷,ráng
勸,quàn
勻,yún
勼,jiū
勽,bào
匁,wén
匂,xiōng
匃,gài
匄,gài
匇,yì
匉,pēng
匊,jū
匋,táo
匌,gé
匎,è
匑,gōng
匒,dá
匓,jiù
匔,gōng
匘,nǎo
匛,jiù
匜,yí
匞,jiàng
匟,kàng
匢,hū
匤,qū
匥,fán
匧,qiè
匨,zāng
匩,kuāng
匫,hū
匬,yǔ
匭,guǐ
匯,huì
匰,dān
匱,guì
匲,lián
匳,lián
匴,suǎn
匵,dú
匶,jiù
匷,jué
匸,xì
匼,kē
匽,yǎn
區,qū
卂,xùn
卄,niàn
卆,zú
卋,shì
卌,xì
卍,wàn
卐,wàn
協,xié
単,dān
卙,jí
卛,shuài
卝,kuàng
卥,xī
卨,xiè
卪,jié
卬,áng
卭,qióng
卲,shào
卶,chǐ
卹,xù
卻,què
卼,wù
卽,jí
卾,è
厀,xī
厁,sān
厃,wěi
厇,zhé
厈,hǎn
厊,yǎ
厎,dǐ
厏,zhǎ
厐,páng
厑,yá
厒,qiè
厓,yá
厔,zhì
厖,páng
厗,tí
厙,shè
厛,tīng
厜,zuī
厞,fèi
厠,cè
厡,yuán
厤,lì
厧,diān
厪,jǐn
厫,áo
厬,guǐ
厭,yàn
厯,lì
厰,chǎng
厱,lán
厲,lì
厳,yán
厴,yǎn
厵,yuán
厷,gōng
厸,lín
厹,róu
厺,qù
厼,ěr
厽,lěi
厾,dū
叀,zhuān
參,cān
叄,cān
叅,cān
叆,ài
叇,dài
収,shōu
叏,guài
叐,bá
叒,ruò
叓,shì
叕,zhuó
叚,jiǎ
叜,sǒu
叝,jí
叞,wèi
叡,ruì
叢,cóng
叧,guǎ
叴,qiú
叺,chǐ
叾,liǎo
叿,hōng
吀,miē
吂,máng
吅,xuān
吇,zǐ
吋,cùn
吔,yě
吘,ǒu
吙,huō
吚,yī
吜,chǒu
吢,qìn
吤,jiè
吥,bù
吪,é
吰,hóng
吳,wú
吶,nà
吷,xuè
吺,dōu
吽,hōng
吿,gào
呁,jùn
呂,lǚ
呄,gé
呅,méi
呇,qǐ
呉,wú
呌,jiào
呍,hōng
呎,chǐ
呏,shēng
呑,tūn
呚,wen
呝,è
呞,shī
呟,juǎn
呠,pěn
呡,wěn
呣,ḿ
