,﻿
嫩,nèn
能,néng
妮,nī
霓,ní
倪,ní
泥,ní
尼,ní
拟,nǐ
你,nǐ
匿,nì
腻,nì
逆,nì
溺,nì
蔫,niān
拈,niān
年,nián
碾,niǎn
撵,niǎn
捻,niǎn
念,niàn
娘,niáng
酿,niàng
鸟,niǎo
尿,niào
捏,niē
聂,niè
孽,niè
啮,niè
镊,niè
镍,niè
涅,niè
您,nín
柠,níng
狞,níng
凝,níng
宁,níng
臔,xiàn
臕,biāo
臖,xìng
臗,kuān
臘,là
臙,yān
臚,lú
臛,huò
臜,zā
臝,luǒ
臞,qú
臟,zàng
臠,luán
臡,ní
臢,zā
臤,qiān
臥,wò
臦,guàng
臨,lín
臩,guǎng
臫,jiǎo
臮,jì
臯,gāo
臰,chòu
臱,mián
臲,niè
臵,gé
臶,jiàn
臷,dié
臸,zhī
臹,xiū
臺,tái
臽,xiàn
臿,chā
舃,xì
與,yǔ
興,xìng
舉,jǔ
舊,jiù
舋,xìn
舎,shè
舏,jiǔ
舑,tān
舓,shì
舕,tàn
舖,pù
舗,pù
舘,guǎn
舙,huà
舚,tiàn
舝,xiá
舠,dāo
舤,fán
舥,pā
舦,tài
舧,fán
舩,chuán
舮,lú
舲,líng
舺,xiá
舼,qióng
舽,páng
舿,kuā
艀,fú
艁,zào
艂,féng
艃,lí
艅,yú
艆,láng
艈,yù
艊,bó
艌,niàn
艍,jū
艎,huáng
艐,kè
艑,biàn
艒,mù
艓,dié
艔,dào
艕,bàng
艖,chā
艗,yì
艙,cāng
艛,lóu
艜,dài
艝,xuě
艞,yào
艠,dēng
艡,dāng
艢,qiáng
艣,lǔ
艤,yǐ
艥,jí
艦,jiàn
艧,huò
艩,qí
拧,níng
泞,nìng
牛,niú
扭,niǔ
钮,niǔ
纽,niǔ
脓,nóng
浓,nóng
农,nóng
弄,nòng
奴,nú
努,nǔ
怒,nù
女,nǚ
暖,nuǎn
虐,nüè
疟,nüè
挪,nuó
懦,nuò
糯,nuò
诺,nuò
哦,ó
欧,ōu
鸥,ōu
殴,ōu
藕,ǒu
呕,ǒu
偶,ǒu
沤,ōu
啪,pā
趴,pā
爬,pá
帕,pà
怕,pà
琶,pá
拍,pāi
排,pái
牌,pái
徘,pái
湃,pài
派,pài
攀,pān
潘,pān
盘,pán
磐,pán
盼,pàn
畔,pàn
判,pàn
叛,pàn
乓,pāng
庞,páng
旁,páng
耪,pǎng
胖,pàng
抛,pāo
咆,páo
刨,páo
炮,pào
袍,páo
跑,pǎo
泡,pào
呸,pēi
胚,pēi
培,péi
裴,péi
赔,péi
陪,péi
配,pèi
佩,pèi
沛,pèi
喷,pēn
盆,pén
砰,pēng
抨,pēng
烹,pēng
澎,pēng
彭,péng
蓬,péng
棚,péng
硼,péng
篷,péng
膨,péng
朋,péng
鹏,péng
捧,pěng
碰,pèng
坯,pī
砒,pī
霹,pī
批,pī
披,pī
劈,pī
琵,pí
毗,pí
艪,lǔ
艫,lú
艬,chán
艭,shuāng
艱,jiān
艵,pīng
艶,yàn
艷,yàn
艸,cǎo
艻,lè
艼,tīng
芀,tiáo
芁,jiāo
芃,péng
芅,yì
芆,chāi
芇,mián
芉,gān
芌,yù
芐,hù
芓,zì
芔,huì
芕,suī
芖,zhì
芚,tún
芛,wěi
芞,qì
芠,wén
芢,rén
芣,fú
芧,xù
芲,huā
芵,jué
芶,gǒu
芺,ǎo
芻,chú
芼,mào
芿,rèng
苀,háng
苂,yín
苃,yǒu
苅,yì
苆,qiē
苉,pǐ
苐,tí
苖,dí
苙,lì
苚,yòng
苝,bèi
苢,yǐ
苧,níng
苨,nǐ
苩,bó
苪,bǐng
苬,xiú
苭,yǎo
苮,xiān
苰,hóng
苲,zhǎ
苳,dōng
苵,dié
苶,nié
苸,hū
苺,méi
苼,shēng
苽,gū
苾,bì
苿,wèi
茀,fú
茊,zī
茋,zhǐ
茍,jì
茐,cōng
茒,yuán
茓,xué
茖,gé
茘,lì
茙,róng
茝,chǎi
茞,chén
茟,yù
茠,hāo
茡,zì
茢,liè
茣,wú
茤,jì
茥,guī
茦,cì
茩,gòu
茪,guāng
茮,jiāo
茰,yú
茲,zī
茷,fá
茻,mǎng
茽,zhòng
啤,pí
脾,pí
疲,pí
皮,pí
匹,pǐ
痞,pǐ
僻,pì
屁,pì
譬,pì
篇,piān
偏,piān
片,piàn
骗,piàn
飘,piāo
漂,piāo
瓢,piáo
票,piào
撇,piē
瞥,piē
拼,pīn
频,pín
贫,pín
品,pǐn
聘,pìn
乒,pīng
坪,píng
苹,píng
萍,píng
平,píng
凭,píng
瓶,píng
评,píng
屏,píng
坡,pō
泼,pō
颇,pǒ
婆,pó
破,pò
魄,pò
迫,pò
粕,pò
剖,pōu
扑,pū
铺,pù
仆,pū
莆,pú
葡,pú
菩,pú
蒲,pú
埔,pǔ
朴,pǔ
圃,pǔ
普,pǔ
浦,pǔ
谱,pǔ
曝,pù
瀑,pù
期,qī
欺,qī
栖,qī
戚,qī
妻,qī
七,qī
凄,qī
漆,qī
柒,qī
沏,qī
其,qí
棋,qí
奇,qí
歧,qí
畦,qí
崎,qí
脐,qí
齐,qí
旗,qí
祈,qí
祁,qí
骑,qí
起,qǐ
岂,qǐ
乞,qǐ
企,qǐ
启,qǐ
契,qì
砌,qì
器,qì
气,qì
迄,qì
弃,qì
汽,qì
泣,qì
讫,qì
掐,qiā
茾,qiān
茿,zhú
荁,huán
荂,fū
荄,gāi
荅,dā
荈,chuǎn
荊,jīng
荋,ér
荌,àn
荍,qiáo
荎,chí
荓,píng
荕,jīn
荖,lǎo
荗,shù
荘,zhuāng
荙,dá
荝,cè
荢,zì
荰,dù
荱,wěi
荲,lí
荳,dòu
荴,fū
荵,rěn
荶,yín
荹,bù
荺,yǔn
荾,suī
荿,chéng
莀,chén
莁,wú
莂,bié
莃,xī
莄,gěng
莇,zhù
莈,mò
莊,zhuāng
莋,zuó
莌,tuō
莍,qiú
莏,suō
莐,chén
莑,péng
莔,méng
莕,xìng
莖,jīng
莗,chē
莙,jūn
莚,yán
莝,cuò
莟,hàn
莡,cuò
莢,jiá
莣,wáng
莤,sù
莥,niǔ
莦,shāo
莧,xiàn
莬,wèn
莭,jié
莮,nán
莯,mù
莵,tù
莻,gòng
莾,mǎng
莿,cì
菂,dì
菃,qú
菄,dōng
菆,zōu
菈,lā
菉,lù
菋,wèi
菍,niè
菎,kūn
菐,pú
菑,zāi
菒,gǎo
菓,guǒ
菕,lún
菗,chóu
菙,chuí
菚,zhàn
菛,mén
菞,lí
菢,bào
菣,qìn
菤,juǎn
菦,qín
菧,dǐ
菨,jiē
菫,jǐn
菬,qiáo
菭,tái
恰,qià
洽,qià
牵,qiān
扦,qiān
钎,qiān
铅,qiān
千,qiān
迁,qiān
签,qiān
仟,qiān
谦,qiān
乾,qián
黔,qián
钱,qián
钳,qián
前,qián
潜,qián
遣,qiǎn
浅,qiǎn
谴,qiǎn
堑,qiàn
嵌,qiàn
欠,qiàn
歉,qiàn
枪,qiāng
呛,qiāng
腔,qiāng
羌,qiāng
墙,qiáng
蔷,qiáng
强,qiáng
抢,qiǎng
橇,qiāo
锹,qiāo
敲,qiāo
悄,qiāo
桥,qiáo
瞧,qiáo
乔,qiáo
侨,qiáo
巧,qiǎo
鞘,qiào
撬,qiào
翘,qiào
峭,qiào
俏,qiào
窍,qiào
切,qiè
茄,jiā
且,qiě
怯,qiè
窃,qiè
钦,qīn
侵,qīn
亲,qīn
秦,qín
琴,qín
勤,qín
芹,qín
擒,qín
禽,qín
寝,qǐn
沁,qìn
青,qīng
轻,qīng
氢,qīng
倾,qīng
卿,qīng
清,qīng
擎,qíng
晴,qíng
氰,qíng
情,qíng
顷,qǐng
请,qǐng
庆,qìng
琼,qióng
穷,qióng
秋,qiū
丘,qiū
邱,qiū
球,qiú
求,qiú
囚,qiú
酋,qiú
泅,qiú
趋,qū
区,qū
蛆,qū
曲,qū
躯,qū
屈,qū
驱,qū
渠,qú
菮,gēng
華,huá
菳,qín
菴,ān
菵,wǎng
菶,běng
菷,zhǒu
菺,jiān
菻,lǐn
菼,tǎn
菾,tián
菿,dào
萀,hǔ
萂,hé
萅,chūn
萇,cháng
萈,huán
萉,fèi
萊,lái
萐,shà
萒,yǎn
萓,yí
萔,tiáo
萕,qí
萖,wǎn
萗,cè
萙,zhěn
萚,tuò
萛,jiū
萞,bì
萟,yì
萠,pān
萡,bo
萢,pāo
萣,dìng
萩,qiū
萪,kē
萫,xiàng
萬,wàn
萭,yǔ
萮,yú
萯,fù
萰,liàn
萲,xuān
萳,nǎn
萴,cè
萵,wō
萶,chǔn
萷,xiāo
萹,biǎn
萺,mào
萻,ān
萾,yíng
萿,kuò
葀,kuò
葁,jiāng
葂,miǎn
葃,zuò
葄,zuò
葅,zū
葇,róu
葈,xǐ
葉,yè
葊,ān
葋,qú
葌,jiān
葍,fú
葎,lǜ
葏,jīng
葐,pén
葒,hóng
葓,hóng
葔,hóu
葕,yàn
葖,tū
葘,zī
葝,qíng
葞,mǐ
葟,huáng
葠,shēn
葢,gài
葤,zhòu
葥,jiàn
葦,wěi
葧,bó
葨,wēi
葪,jì
葮,duàn
葯,yào
葰,suī
葲,quán
葴,zhēn
葷,hūn
葹,shī
葻,lán
葼,zōng
取,qǔ
娶,qǔ
龋,qǔ
趣,qù
去,qù
圈,quān
颧,quán
权,quán
醛,quán
泉,quán
全,quán
痊,quán
拳,quán
犬,quǎn
券,quàn
劝,quàn
缺,quē
炔,guì
瘸,qué
却,què
鹊,què
榷,què
确,què
雀,què
裙,qún
群,qún
然,rán
燃,rán
冉,rǎn
染,rǎn
瓤,ráng
壤,rǎng
攘,rǎng
嚷,rǎng
让,ràng
饶,ráo
扰,rǎo
绕,rào
惹,rě
热,rè
壬,rén
仁,rén
人,rén
忍,rěn
韧,rèn
任,rèn
认,rèn
刃,rèn
妊,rèn
纫,rèn
扔,rēng
仍,réng
日,rì
戎,róng
茸,rōng
蓉,róng
荣,róng
融,róng
熔,róng
溶,róng
容,róng
绒,róng
冗,rǒng
揉,róu
柔,róu
肉,ròu
茹,rú
蠕,rú
儒,rú
孺,rú
如,rú
辱,rǔ
乳,rǔ
汝,rǔ
入,rù
褥,rù
软,ruǎn
阮,ruǎn
蕊,ruǐ
瑞,ruì
锐,ruì
闰,rùn
润,rùn
若,ruò
弱,ruò
撒,sā
洒,sǎ
萨,sà
腮,sāi
鳃,sāi
塞,sāi
赛,sài
三,sān
叁,sān
葽,yāo
葾,yuān
葿,méi
蒀,yūn
蒁,shù
蒃,zhuàn
蒄,guān
蒅,rǎn
蒆,xuē
蒊,huā
蒍,wěi
蒏,you
蒐,sōu
蒑,yīn
蒒,shī
蒓,chún
蒔,shí
蒕,yūn
蒖,zhēn
蒘,rú
蒚,lì
蒛,quē
蒝,yuán
蒞,lì
蒟,jǔ
蒠,xī
蒢,chú
蒣,xú
蒤,tú
蒥,liú
蒦,huò
蒧,diǎn
蒨,qiàn
蒩,zū
蒪,pò
蒫,cuó
蒬,yuān
蒭,chú
蒮,yù
蒰,pán
蒱,pú
蒳,nà
蒵,xí
蒶,fén
蒷,yún
蒻,ruò
蒼,cāng
蒾,mí
蓀,sūn
蓂,míng
蓃,sōu
蓅,liú
蓆,xí
蓇,gǔ
蓈,láng
蓋,gài
蓌,cuò
蓎,táng
蓏,luǒ
蓒,xuān
蓔,yǎo
蓕,guì
蓗,zǒng
蓘,gǔn
蓙,zuò
蓚,tiáo
蓛,cè
蓜,pèi
蓞,dàn
蓡,shēn
蓢,lǎng
蓤,líng
蓧,diào
蓨,tiáo
蓩,mǎo
蓪,tōng
蓫,chù
蓭,ān
蓮,lián
蓯,cōng
蓱,píng
蓲,qiū
蓳,jǐn
蓴,chún
蓵,jié
蓶,wéi
蓷,tuī
蓸,cáo
蓹,yù
蓺,yì
蓻,zí
蓽,bì
蓾,lǔ
蔀,bù
蔁,zhāng
蔂,léi
伞,sǎn
散,sàn
桑,sāng
嗓,sǎng
丧,sàng
搔,sāo
骚,sāo
扫,sǎo
嫂,sǎo
瑟,sè
色,sè
涩,sè
森,sēn
僧,sēng
莎,shā
砂,shā
杀,shā
刹,shā
沙,shā
纱,shā
傻,shǎ
啥,shá
煞,shā
筛,shāi
晒,shài
珊,shān
苫,shān
杉,shān
山,shān
删,shān
煽,shān
衫,shān
闪,shǎn
陕,shǎn
擅,shàn
赡,shàn
膳,shàn
善,shàn
汕,shàn
扇,shàn
缮,shàn
墒,shāng
伤,shāng
商,shāng
赏,shǎng
晌,shǎng
上,shàng
尚,shàng
裳,shang
梢,shāo
捎,shāo
稍,shāo
烧,shāo
芍,sháo
勺,sháo
韶,sháo
少,shǎo
哨,shào
邵,shào
绍,shào
奢,shē
赊,shē
蛇,shé
舌,shé
舍,shě
赦,shè
摄,shè
射,shè
慑,shè
涉,shè
社,shè
设,shè
砷,shēn
申,shēn
呻,shēn
伸,shēn
身,shēn
深,shēn
娠,shēn
绅,shēn
神,shén
沈,shěn
审,shěn
婶,shěn
甚,shèn
肾,shèn
慎,shèn
渗,shèn
声,shēng
生,shēng
甥,shēng
牲,shēng
升,shēng
绳,shéng
蔃,qiáng
蔄,màn
蔅,yán
蔆,líng
蔇,jì
蔈,biāo
蔉,gǔn
蔊,hǎn
蔋,dí
蔍,lù
蔎,shè
蔏,shāng
蔐,dí
蔒,xūn
蔔,bó
蔕,dì
蔖,cuó
蔘,shēn
蔙,xuàn
蔛,hú
蔜,áo
蔝,mǐ
蔞,lóu
蔠,zhōng
蔢,pó
蔣,jiǎng
蔤,mì
蔥,cōng
蔦,niǎo
蔧,huì
蔨,juàn
蔩,yín
蔪,jiàn
蔭,yīn
蔮,guó
蔯,chén
蔰,hù
蔱,shā
蔲,kòu
蔳,qiàn
蔴,má
蔵,zāng
蔶,zé
蔾,lí
蔿,wěi
蕀,jí
蕁,qián
蕂,shèng
蕄,méng
蕅,ǒu
蕆,chǎn
蕇,diǎn
蕋,ruǐ
蕌,lěi
蕍,yú
蕎,qiáo
蕏,chú
蕐,huá
蕑,jiān
蕒,mǎi
蕓,yún
蕔,bāo
蕕,yóu
蕗,lù
蕘,ráo
蕚,è
蕛,tí
蕜,fěi
蕝,jué
蕟,fà
蕠,rú
蕡,fén
蕢,kuì
蕣,shùn
蕥,yǎ
蕦,xū
蕧,fù
蕩,dàng
蕪,wú
蕫,dǒng
蕬,sī
蕭,xiāo
蕮,xì
蕯,lóng
蕰,wēn
蕱,shāo
蕳,jiān
蕵,sūn
蕶,líng
蕷,yù
蕸,xiá
蕼,sì
蕽,nóng
蕿,xuān
薀,yùn
薁,yù
省,shěng
盛,shèng
剩,shèng
胜,shèng
圣,shèng
师,shī
失,shī
狮,shī
施,shī
湿,shī
诗,shī
尸,shī
虱,shī
十,shí
石,shí
拾,shí
时,shí
什,shén
食,shí
蚀,shí
实,shí
识,shí
史,shǐ
矢,shǐ
使,shǐ
屎,shǐ
驶,shǐ
始,shǐ
式,shì
示,shì
士,shì
世,shì
柿,shì
事,shì
拭,shì
誓,shì
逝,shì
势,shì
是,shì
嗜,shì
噬,shì
适,shì
仕,shì
侍,shì
释,shì
饰,shì
氏,shì
市,shì
恃,shì
室,shì
视,shì
试,shì
收,shōu
手,shǒu
首,shǒu
守,shǒu
寿,shòu
授,shòu
售,shòu
受,shòu
瘦,shòu
兽,shòu
蔬,shū
枢,shū
梳,shū
殊,shū
抒,shū
输,shū
叔,shū
舒,shū
淑,shū
疏,shū
书,shū
赎,shú
孰,shú
熟,shú
薯,shǔ
暑,shǔ
曙,shǔ
署,shǔ
蜀,shǔ
黍,shǔ
鼠,shǔ
属,shǔ
术,shù
述,shù
树,shù
束,shù
戍,shù
竖,shù
墅,shù
庶,shù
数,shù
漱,shù
薂,xí
薃,hào
薆,ài
薈,huì
薉,huì
薊,jì
薋,cí
薌,xiāng
薍,wàn
薎,miè
薐,léng
薑,jiāng
薒,càn
薓,shēn
薔,qiáng
薕,lián
薖,kē
薗,yuán
薘,dá
薙,tì
薚,tāng
薝,zhān
薞,sūn
薟,xiān
薠,fán
薡,dǐng
薢,xiè
薣,gǔ
薥,shǔ
薦,jiàn
薧,hāo
薩,sà
薫,xūn
薬,yào
薭,bài
薱,duì
薲,pín
薳,wěi
薴,níng
薵,chóu
薶,mái
薸,piáo
薺,jì
薻,zǎo
薼,chén
薽,zhēn
薾,ěr
薿,nǐ
藀,yíng
藂,cóng
藃,xiāo
藄,qí
藅,fá
藆,jiǎn
藇,xù
藈,kuí
藊,biǎn
藋,diào
藌,mì
藍,lán
藎,jìn
藑,qióng
藒,qiè
藔,liáo
藖,xián
藗,sù
藘,lǘ
藙,yì
藚,xù
藛,xiě
藝,yì
藞,lǎ
藟,lěi
藠,jiào
藡,dí
藢,zhǐ
藣,bēi
藥,yào
藦,mò
藧,huàn
藨,biāo
藪,sǒu
藫,tán
藬,tuī
藭,qióng
藮,qiáo
藯,wèi
藰,liú
藱,huì
藲,ōu
藳,gǎo
藴,yùn
藵,bǎo
藶,lì
藷,shǔ
藸,chú
恕,shù
刷,shuā
耍,shuǎ
摔,shuāi
衰,shuāi
甩,shuǎi
帅,shuài
栓,shuān
拴,shuān
霜,shuāng
双,shuāng
爽,shuǎng
谁,shuí
水,shuǐ
睡,shuì
税,shuì
吮,shǔn
瞬,shùn
顺,shùn
舜,shùn
说,shuō
硕,shuò
朔,shuò
烁,shuò
斯,sī
撕,sī
嘶,sī
思,sī
私,sī
司,sī
丝,sī
死,sǐ
肆,sì
寺,sì
嗣,sì
四,sì
伺,cì
似,shì
饲,sì
巳,sì
松,sōng
耸,sǒng
怂,sǒng
颂,sòng
送,sòng
宋,sòng
讼,sòng
诵,sòng
搜,sōu
艘,sōu
擞,sǒu
嗽,sòu
苏,sū
酥,sū
俗,sú
素,sù
速,sù
粟,sù
僳,sù
塑,sù
溯,sù
宿,sù
诉,sù
肃,sù
酸,suān
蒜,suàn
算,suàn
虽,suī
隋,suí
随,suí
绥,suí
髓,suǐ
碎,suì
岁,suì
穗,suì
遂,suì
隧,suì
祟,suì
孙,sūn
损,sǔn
笋,sǔn
蓑,suō
梭,suō
唆,suō
缩,suō
琐,suǒ
索,suǒ
锁,suǒ
所,suǒ
塌,tā
他,tā
它,tā
她,tā
塔,tǎ
藹,ǎi
藺,lìn
藼,xuān
藽,qìn
藾,lài
蘀,tuò
蘁,wù
蘂,ruǐ
蘃,ruǐ
蘄,qí
蘆,lú
蘇,sū
蘈,tuí
蘉,méng
蘊,yùn
蘋,píng
蘌,yǔ
蘍,xūn
蘎,jì
蘏,jiōng
蘐,xuān
蘒,qiū
蘓,sū
蘔,jiōng
蘕,péng
蘗,bò
蘘,ráng
蘙,yì
蘚,xiǎn
蘛,yú
蘜,jú
蘝,liǎn
蘞,liǎn
蘟,yǐn
蘠,qiáng
蘡,yīng
蘢,lóng
蘣,tǒu
蘤,huā
蘥,yuè
蘦,líng
蘨,yáo
蘪,méi
蘫,hàn
蘬,kuī
蘭,lán
蘮,jì
蘯,dàng
蘰,màn
蘱,lèi
蘲,léi
蘳,huī
蘴,fēng
蘵,zhī
蘶,wèi
蘷,kuí
蘹,huái
蘺,lí
蘻,jì
蘽,lěi
蘾,huài
蘿,luó
虀,jī
虁,kuí
虂,lù
虃,jiān
虄,sà
虅,téng
虆,léi
虇,quǎn
虈,xiāo
虉,yì
虊,luán
虋,mén
虌,biē
虒,sī
虓,xiāo
處,chù
虖,hū
虗,xū
虘,cuó
虙,fú
虛,xū
虜,lǔ
虝,hǔ
號,hào
虠,jiāo
虡,jù
虣,bào
虤,yán
虥,zhàn
虦,zhàn
虧,kuī
虨,bīn
虩,xì
虪,shù
獭,tǎ
挞,tà
蹋,tà
踏,tà
胎,tāi
苔,tái
抬,tái
台,tái
泰,tài
酞,tài
太,tài
态,tài
汰,tài
坍,tān
摊,tān
贪,tān
瘫,tān
滩,tān
坛,tán
檀,tán
痰,tán
潭,tán
谭,tán
谈,tán
坦,tǎn
毯,tǎn
袒,tǎn
碳,tàn
探,tàn
叹,tàn
炭,tàn
汤,tāng
塘,táng
搪,táng
堂,táng
棠,táng
膛,táng
唐,táng
糖,táng
倘,tǎng
躺,tǎng
淌,tǎng
趟,tàng
烫,tàng
掏,tāo
涛,tāo
滔,tāo
绦,tāo
萄,táo
桃,táo
逃,táo
淘,táo
陶,táo
讨,tǎo
套,tào
特,tè
藤,téng
腾,téng
疼,téng
誊,téng
梯,tī
剔,tī
踢,tī
锑,tī
提,tí
题,tí
蹄,tí
啼,tí
体,tǐ
替,tì
嚏,tì
惕,tì
涕,tì
剃,tì
屉,tì
天,tiān
添,tiān
填,tián
田,tián
甜,tián
恬,tián
舔,tiǎn
腆,tiǎn
挑,tiāo
条,tiáo
迢,tiáo
眺,tiào
跳,tiào
贴,tiē
铁,tiě
帖,tiē
厅,tīng
听,tīng
烃,tīng
虭,diāo
虯,qiú
虰,dīng
虲,xiā
虳,jué
虴,zhé
虵,shé
虶,yū
虷,hán
虸,zǐ
蚃,xiǎng
蚄,fāng
蚅,è
蚆,bā
蚇,chǐ
蚈,qiān
蚉,wén
蚎,yuè
蚏,yuè
蚐,jūn
蚑,qí
蚒,tóng
蚔,qí
蚖,yuán
蚗,jué
蚘,huí
蚙,qín
蚚,qí
蚛,zhòng
蚞,mù
蚟,wáng
蚠,fén
蚡,fén
蚢,háng
蚥,fù
蚦,rán
蚫,bào
蚭,ní
蚮,dài
蚲,píng
蚳,chí
蚷,jù
蚸,lì
蚹,fù
蚻,zhá
蚼,gǒu
蚽,pí
蚾,pí
蚿,xián
蛁,diāo
蛂,bié
蛃,bǐng
蛅,zhān
蛈,tiě
蛌,gǔ
蛍,yíng
蛒,gé
蛓,cì
蛕,huí
蛖,máng
蛗,fù
蛚,liè
蛜,yī
蛝,xián
蛠,lì
蛡,yì
蛢,píng
蛣,qī
蛥,shé
蛦,yí
蛧,wǎng
蛨,mò
蛪,qiè
蛫,guǐ
蛬,qióng
蛯,lǎo
蛵,xīng
蛶,jiè
蛷,qiú
蛺,jiá
蛻,tuì
蛼,chē
蛽,bèi
蛿,hàn
蜁,xuán
蜄,shèn
蜅,fǔ
蜆,xiàn
蜋,láng
蜌,bì
蜎,yuān
蜏,yǒu
蜐,jié
蜑,dàn
蜔,diàn
蜖,huí
汀,tīng
廷,tíng
停,tíng
亭,tíng
庭,tíng
挺,tǐng
艇,tǐng
通,tōng
桐,tóng
酮,tóng
瞳,tóng
同,tóng
铜,tóng
彤,tóng
童,tóng
桶,tǒng
捅,tǒng
筒,tǒng
统,tǒng
痛,tòng
偷,tōu
投,tóu
头,tóu
透,tòu
凸,tū
秃,tū
突,tū
图,tú
徒,tú
途,tú
涂,tú
屠,tú
土,tǔ
吐,tǔ
兔,tù
湍,tuān
团,tuán
推,tuī
颓,tuí
腿,tuǐ
蜕,tuì
褪,tuì
退,tuì
吞,tūn
屯,tún
臀,tún
拖,tuō
托,tuō
脱,tuō
鸵,tuó
陀,tuó
驮,tuó
驼,tuó
椭,tuǒ
妥,tuǒ
拓,tuò
唾,tuò
挖,wā
哇,wa
蛙,wā
洼,wā
娃,wá
瓦,wǎ
袜,wà
歪,wāi
外,wài
豌,wān
弯,wān
湾,wān
玩,wán
顽,wán
丸,wán
烷,wán
完,wán
碗,wǎn
挽,wǎn
晚,wǎn
皖,wǎn
惋,wǎn
宛,wǎn
婉,wǎn
万,wàn
腕,wàn
汪,wāng
王,wáng
亡,wáng
枉,wǎng
网,wǎng
往,wǎng
旺,wàng
望,wàng
忘,wàng
妄,wàng
威,wēi
蜙,sōng
蜛,jū
蜝,qí
蜟,yù
蜠,jùn
蜤,sī
蜦,lún
蜧,lì
蜨,dié
蜪,táo
蜫,kūn
蜬,hán
蜭,hàn
蜯,bàng
蜰,féi
蜲,wēi
蜳,dūn
蜵,yuān
蜶,suò
蜸,qiǎn
蜹,ruì
蜺,ní
蜼,wèi
蜽,liǎng
蝀,dōng
蝁,è
蝂,bǎn
蝃,dì
蝄,wǎng
蝅,cán
蝆,yǎng
蝊,dìng
蝋,là
蝍,jié
蝏,tíng
蝐,mào
蝑,xū
蝒,mián
蝔,jiē
蝕,shí
蝖,xuān
蝘,yǎn
蝚,róu
蝛,wēi
蝜,fù
蝝,yuán
蝞,mèi
蝟,wèi
蝡,rú
蝢,xié
蝦,xiā
蝧,yīng
蝨,shī
蝩,chóng
蝪,tāng
蝫,zhū
蝬,zōng
蝭,tí
蝯,yuán
蝱,méng
蝲,là
蝳,dú
蝵,qiū
蝷,lì
蝸,wō
蝹,yūn
蝺,qǔ
蝿,yíng
螀,jiāng
螁,ban
螄,sī
螆,cì
螇,xī
螉,wēng
螊,lián
螌,bān
螎,róng
螏,jí
螐,wū
螑,xiù
螒,hàn
螔,yí
螕,bī
螖,huá
螘,yǐ
螙,dù
螚,nài
螛,hé
螜,hú
螝,guī
螞,mǎ
螠,yì
螡,wén
螢,yíng
螣,tè
螤,zhōng
巍,wēi
微,wēi
危,wēi
韦,wéi
违,wéi
桅,wéi
围,wéi
唯,wéi
惟,wéi
为,wèi
潍,wéi
维,wéi
苇,wěi
萎,wēi
委,wěi
伟,wěi
伪,wěi
尾,wěi
纬,wěi
未,wèi
蔚,wèi
味,wèi
畏,wèi
胃,wèi
喂,wèi
魏,wèi
位,wèi
渭,wèi
谓,wèi
尉,wèi
慰,wèi
卫,wèi
瘟,wēn
温,wēn
蚊,wén
文,wén
闻,wén
纹,wén
吻,wěn
稳,wěn
紊,wěn
问,wèn
嗡,wēng
翁,wēng
瓮,wèng
挝,wō
蜗,wō
涡,wō
窝,wō
我,wǒ
斡,wò
卧,wò
握,wò
沃,wò
巫,wū
呜,wū
钨,wū
乌,wū
污,wū
诬,wū
屋,wū
无,wú
芜,wú
梧,wú
吾,wú
吴,wú
毋,wú
武,wǔ
五,wǔ
捂,wǔ
午,wǔ
舞,wǔ
伍,wǔ
侮,wǔ
坞,wù
戊,wù
雾,wù
晤,wù
物,wù
勿,wù
务,wù
悟,wù
误,wù
昔,xī
熙,xī
析,xī
西,xī
硒,xī
矽,xì
晰,xī
嘻,xī
吸,xī
锡,xī
牺,xī
螥,cāng
螦,sāo
螧,qí
螩,tiao
螪,shāng
螮,dì
螰,lù
螱,wèi
螲,zhì
螴,chén
螶,qú
螷,pí
螸,yú
螹,jiàn
螻,lóu
螼,qǐn
螾,yǐn
螿,jiāng
蟁,wén
蟂,xiāo
蟃,wàn
蟄,zhé
蟅,zhè
蟇,má
蟈,guō
蟉,liú
蟌,cōng
蟍,lí
蟎,mǎn
蟏,xiāo
蟐,chang
蟔,mò
蟕,zuī
蟖,sī
蟗,qiū
蟘,tè
蟙,zhí
蟚,péng
蟜,jiǎo
蟝,qú
蟞,biē
蟟,liáo
蟡,guǐ
蟢,xǐ
蟣,jǐ
蟤,zhuān
蟦,féi
蟧,láo
蟨,jué
蟩,jué
蟫,yín
蟬,chán
蟭,jiāo
蟯,náo
蟰,xiāo
蟱,wú
蟲,chóng
蟳,xún
蟴,sī
蟵,chú
蟶,chēng
蟷,dāng
蟸,lǐ
蟺,shàn
蟻,yǐ
蟼,jǐng
蟽,dá
蟿,qì
蠀,cī
蠁,xiǎng
蠂,shè
蠄,qín
蠅,yíng
蠆,chài
蠇,lì
蠈,zéi
蠉,xuān
蠋,zhú
蠌,zé
蠍,xiē
蠎,mǎng
蠏,xiè
蠐,qí
蠑,róng
蠒,jiǎn
蠔,háo
蠗,zhuó
蠘,jié
蠙,pín
蠚,hē
蠜,fán
蠝,lěi
蠞,jié
蠟,là
蠠,mǐn
蠣,lì
稀,xī
息,xī
希,xī
悉,xī
膝,xī
夕,xī
惜,xī
熄,xī
烯,xī
溪,xī
汐,xī
犀,xī
檄,xí
袭,xí
席,xí
习,xí
媳,xí
