--  --------二简词提示---------
-- 功能：全码提示简码
$cmd(随着,_sv)	svve
$cmd(推广,_tg)	tvgl
$cmd(推荐,_tj)	tvjm
$cmd(淘汰,_tt)	tctd
$cmd(投资,_tz)	tzzi
$cmd(这次,_vc)	veci
$cmd(支持,_vi)	viii
$cmd(真正,_vv)	vfvg
$cmd(这些,_vx)	vexp
$cmd(味道,_wd)	wwdc
$cmd(完美,_wm)	wjmw
$cmd(修改,_xg)	xqgd
$cmd(学习,_xx)	xtxi
$cmd(正在,_vz)	vgzd
$cmd(周围,_vw)	vzww
$cmd(最终,_zv)	zvvs
$cmd(确认,_qr)	qtrf
$cmd(偶发,_of)	oufa
$cmd(分类,_fl)	fflw
--  -------<删>    有重全码----------
即使	jiui#删
举例	juli#删
一边	yibm#删
即可	jike#删
按时	anui#删
不再	buzd#删
背景	bwjk#删
达到	dadc#删
恶毒	eedu#删
儿科	erke#删
而是	erui#删
分别	ffbp#删
反对	fjdv#删
反悔	fjhv#删
反应	fjyk#删
附件	fujm#删
过程	goig#删
回复	hvfu#删
程度	igdu#删
成为	igww#删
尝尝	ihih#删
传统	irts#删
今天	jbtm#删
极其	jiqi#删
计算	jisr#删
今晚	jbwj#删
极为	jiww#删
精彩	jkcd#删
简单	jmdj#删
简直	jmvi#删
假如	jxru#删
链接	lmjp#删
联系	lmxi#删
貌似	mcsi#删
面前	mmqm#删
美丽	mwli#删
每周	mwvz#删
那些	naxp#删
那样	nayh#删
努力	nuli#删
期间	qijm#删
歧视	qiui#删
千万	qmwj#删
任务	rfwu#删
速度	sudu#删
台湾	tdwj#删
统一	tsyi#删
推导	tvdc#删
什么	ufme#删
神似	ufsi#删
伤害	uhhd#删
世纪	uiji#删
试试	uiui#删
束缚	uufu#删
收到	uzdc#删
征服	vgfu#删
知道	vidc#删
只会	vihv#删
只能	ving#删
只是	viui#删
主意	vuyi#删
追求	vvqq#删
文字	wfzi#删
猥琐	wwso#删
为止	wwvi#删
未知	wwvi#删
微信	wwxb#删
西欧	xiou#删
险恶	xmee#删
现金	xmjb#删
小时	xnui#删
修正	xqvg#删
选择	xrze#删
下次	xxci#删
下面	xxmm#删
一定	yidk#删
一片	yipm#删
一直	yivi#删
一下	yixx#删
云南	yynj#删
在线	zdxm#删
总共	zsgs#删
总算	zssr#删
整句	vgju#删
按键	anjm#删
按理	anli#删
黯然	anrj#删
暗自	anzi#删
五笔	wubi#删
座位	zoww#删
基本	jibf#删
