bkvj	兵站
bvyw	兵站运输网
bvju	兵仗局
bvub	兵之胜败
bkvs	兵种
bvuj	兵众孰强
bvvv	兵种战术
bvvl	兵种战术训练
bvvu	兵种主帅
bvju	并舟具
bbjm	波瓣间
bbjq	波瓣间盲区
boci	波次
bodg	拨等
boke	博克
bkvd	博克战斗刀
blyu	波兰语
blvy	柏林战役
bmvd	波面制导
bqlh	薄前猎后
buvd	波束制导
bygs	波音公司
bvxm	波状斜面
bubj	布板
bbxh	布板信号
bubk	步兵
bbdz	步兵搭载
bbfq	步兵浮桥
bbjl	步兵技术训练
bbpp	步兵旁牌
bbsj	步兵三脚架
bbtm	步兵统领衙门
bbwq	步兵武器
bbvi	步兵战车
bbvi	步兵战斗车
bbvi	步兵战斗教程
bbvl	步兵战术训练
bbwy	步步为营
buce	步测
biqk	补充情况
birw	补充任务
bixd	补充想定
bdrr	不打人骂人
budj	钚弹
bdqe	不得其考矣
bdyu	不短于
bdbv	部队编制
bdcw	部队测绘勤务
bddh	部队代号
bdph	部队番号
bduy	部队试验
bduy	部队试用
bdhd	部队行动
bdih	部队长
bdvi	部队侦察
bdvd	部队驻地
bdvb	部队装备
bfdy	部分动员
bfgq	部分轨道武器
bfhj	部分护卫舰
bfvy	部分指战员
bfjv	捕俘技术
bugc	布告
bjdu	补给淡水
bjyx	补给运输线
bgjq	不贵久
bgjp	不过借
bhji	步话机
bjdm	补给点
bjrd	不进入阵地
bjxt	不尽相同
bjpe	不久便
bjtl	步军统领
bjyk	步军营
bkby	不可不察也
bkxy	不可先传也
blet	布莱恩泰
bulw	布雷
blie	布雷车
bldj	布雷弹
bljd	布雷计时点
bljm	布雷舰
blmd	布雷密度
blqi	布雷器
blth	不良天候
blnn	不论男女
bnjv	不能军者
bnvv	布匿战争
bndl	不虐待俘虏
bbxt	步炮协同
bbxx	步炮协同通信
bqcs	步枪从
bqu	步枪是
bqxn	步枪性能
brzv	不若则能避之
buuc	步哨
bujq	不少击发枪
bvgj	布氏杆菌
bshj	不损坏庄家
btji	步谈机
btxt	步坦协同
btxx	步坦协同通信
btve	不忒者
btxn	不调戏妇女
btvv	不听制止
bxgh	不锈钢
byte	卜颜帖木儿
beda	不宜大
bevw	不易掌握
buyk	步营
byif	不予处罚
buvj	步战
bvie	步战车
bvbj	不知彼不知己
bvbj	不知彼而知己
bvvu	不知之者不胜
bvfl	捕捉俘虏
bvgz	捕捉狗
bvvj	捕捉战机
ciqu	财产权属
cidb	才彻底把
cgfa	采购法
cgxm	采购项目
cjjl	财经纪律
cldi	材料堆场
cnli	才能炼出
cqvd	采取主动
csuh	才死伤
cwig	才完成
cwbv	财务保障
cwgl	财务管理
cwgz	财务管理原则
cwgd	财务规章制度
cwjv	财务检查
cysq	采用燧发枪
cchd	残存火力点
cjdi	残敌
cfjr	残废军人
cgjx	参观教学
cjcg	参军参干
cmlh	参谋六会
cmry	参谋人员
cmyw	参谋业务
cmih	参谋长
cjei	蚕食
ccfy	仓促防御
ccfy	仓猝防御
chku	仓库
clxk	苍龙型
chmf	舱门
chui	舱室
ccie	槽车
ccdu	漕渡
cdmq	漕渡门桥
ccgv	曹刿
crhd	草人惑敌
cywv	草原伪装
ccvz	操舟
cvji	操舟机
cvjj	操舟机支架
czbf	操纵部分
czdl	操纵地雷
czuz	操纵手
czxk	操纵性
czfr	操作反干扰
czxd	操作训练弹
czyl	操作原理
vbxd	侧保险道
vbui	侧壁式
vbui	侧壁式气垫船
cede	测地
vdqj	侧敌前进
cdqw	测地勤务
cdwx	测地卫星
cdfw	测定方位
vfjb	侧方尖兵
vfjf	侧方交会法
vfjj	侧方警戒
vfvd	侧方阵地
cefg	测风
cfld	测风雷达
vdhz	侧后
cehv	测绘
chbv	测绘保障
chbd	测绘部队
chqv	测绘勤务保障
chrw	测绘任务
vdji	侧击
vjkq	侧净空区
cjqc	测井器材
ceju	测距
cjyi	测距仪
clir	测量船
vdue	侧射
vuhl	侧射火力
cufd	测试分队
vuld	侧视雷达
cuvd	测试阵地
ctwx	测图卫星
vdww	侧卫
cexm	测线
vdxl	侧向
ceyk	策应
ceyu	测雨
cyld	测雨雷达
vagh	查岗
vjdp	查缉毒品
vapu	查铺
vpvu	查铺查哨
vauc	查哨
vvuu	查证属实
iibp	拆除爆破
iddv	拆弹队
idpb	拆拼
ipxl	拆拼修理
ivuq	拆装式金属桥
ijju	缠距
iydj	产业动员局
ivld	缠战劳敌
ibjy	常备军
ihbk	长兵
ihbo	长波
ibtd	长波台
ibtx	长波通信
ihig	长城
iikv	长城抗战
ihdj	长弹
ihdc	场道
idue	长点射
ifxb	长方形地靶
ihfu	常服
ifie	常服衬衣
ihgj	长杆
igdt	常规弹头
igdl	常规动力
igjx	常规检验箱
igwq	常规武器
igvv	常规战争
ihhx	厂化
ijdg	场界灯
imhc	长门号
inpi	场内迫降场
iqfv	长枪法着
iqgr	长枪管
iqvf	长枪之法
iqvw	长枪之物
iqvr	长驱直入
iuhv	长沙会战
itdh	长途电话
iwpi	场外迫降场
iwvd	长围制敌
ixcb	长形刺兵
ihjy	常行军
iybi	常用表尺
iyff	常用方法
ivje	长征健儿
icbc	抄报
ibvi	抄报纸
icbm	超编
icia	潮差
iibo	超长波
iibx	超长波通信
idgd	超低轨道
idks	超低空
idkh	超低空飞行
idbo	超短波
idbt	超短波电台
idbx	超短波通信
igks	超高空
igkv	超高空爆炸
ijmb	超级美洲豹
ijvd	超级战术折刀
ikjk	超口径
ikjd	超口径炮弹
ijfy	超期服役
iuul	超声水压水雷
iujd	超视距雷达
iuxm	潮水线
icwu	朝雾
iwjj	朝雾级驱逐舰
ixbn	潮汐表
ixrj	朝鲜人民军
ixtd	朝鲜停战协定
ixvi	朝鲜战场
ixvv	朝鲜战争
iydy	超压动压
iysu	超音速
iysj	超音速飞机
icyt	超越
iyue	超越射
iyuj	超越射击
iyzv	超越作战
ivul	超直射距离
icvs	超重
ivxm	超重陷
ieih	车场
iiri	车场日
ieir	车船
ieff	车份
igli	车公里
igle	车公里限额
ihbu	车行部
ihbd	车行部宽度
ijvf	车甲之奉
ijjl	车间距离
ilvi	撤离战场
ilby	车辆保养
iliu	车辆初驶
ilfj	车辆分级
ilhp	车辆号牌
illl	车辆利用率
ilqw	车辆勤务
ilwl	车辆完好率
ilyu	车辆运输
ilyh	车辆运行
ilyv	车辆运用凭证
ilzj	车辆载具
ilvj	车辆质量分级
iluz	车轮式荷载
ilvf	车轮战法
inkj	车内空间
iebc	车炮
ibih	车炮场
ibir	车炮场日
iqfu	车骑府
iqqj	车骑将军
iqvy	车桥战役
ieri	车日
iexx	车下
iexl	车厢
ixdb	撤销担保
ieys	车用
izev	车杂而乘之
iezd	车载
izui	车载式
ievj	车战
ivud	车战时代
ieih	车长
iigj	车长观察镜
ieve	车辙
ivdc	车辙道
ivlm	车辙路面
ivqn	车辙桥
idlw	沉底雷
idul	沉底水雷
iuhb	陈述和申辩
ifwu	沉物
iyig	陈玉成
ibby	乘彼不虞
iihj	乘车行军
iivd	乘车战斗
idyx	乘敌因循
idvx	乘敌之隙
idjq	成都军区
igfa	成果法
ijsh	成吉思汗
ijjx	乘间击暇
ijxd	乘降袭敌
ilyj	乘乱掩击
iqsv	乘其所之
igqm	程潜
iuug	称生胜
iumf	乘胜万里伏
iufy	城市防御
iufi	城市防御工程
iuwv	城市伪装
iuvd	城市战斗
itbp	成套编配
itvv	成套遮障
iwmj	成为明军
ijts	成系统
ixvl	成像质量
igxu	程序
ixer	乘虚而入
ixfh	程序飞行
iybs	乘员避弹所
iyzy	乘员座椅
ibvv	赤壁之战
iiqs	驰车千驷
iihc	赤城号
iddd	赤道带
ijxj	持久性毒剂
ijvj	持久战
iiuv	吃水
iuuf	吃水深
iuud	吃水深度
iixn	赤霄
ixdy	持续动员
iytq	持一铁枪
iivj	斥战
iivi	迟滞
ivdj	持重待机
vduf	重叠设伏
vduj	重叠射击
ifhc	冲锋号
ifql	冲锋枪
ifvz	冲锋舟
isgz	冲沟
isgr	铳管
ijbo	冲击波
ijby	冲击波超压
ijby	冲击波动压
ijby	冲击波效应
ijid	冲击出发阵地
ijhb	冲击火力准备
ijjj	冲击基准时间
ijkj	冲击开始时间
ijlx	冲击路线
ijmb	冲击目标
ijbb	冲击炮火准备
ijuh	冲击伤
ijyl	冲击压力
ijvb	冲击准备
vsjm	重建
islg	充冷
vsdj	重弹
vsxm	重陷
vxuu	重新试射
iygy	冲压工艺
isyh	充氧
vvks	重装空投伞
iubj	础板
ibbv	储备标准
ibli	储备里程
ibjx	初步决心
iuie	出车
iiml	出车命令
iiuf	处处设防
icck	储存仓库
idby	出敌不意
idlv	出动率
ifbv	触发爆炸
ifix	处罚程序
ifji	出发机场
iful	触发水雷
ifxm	出发线
ifyx	触发引信
iuji	出击
ijbu	出具保证书
ijum	出具书面声明
iljx	储雷架
iulm	出联
iqby	出其不意
iqui	出枪似
iqir	出勤车日
iui	初驶
isu	初速
iuxm	触线
ixul	触线水雷
ixt	初雪
ixjj	初雪级驱逐舰
iyyx	出优越性
ivj	初战
ivdc	初制导
ivtj	处置突发事件
vbdd	传帮带
vrbc	传爆
vbjl	传爆系列
vbyc	传爆药
iria	穿插
vdux	传递时限
vdhd	传动和行动
vdji	传动系
vdjt	传动系统
vdvv	传动装置
idbd	船队编组梯队
vhks	传话孔
vhks	传火孔
vhkk	传火孔口
irjx	穿甲
ijdj	穿甲弹
ijrd	穿甲燃烧弹
ilvl	串联准爆电流
imyd	船马引敌
vpvh	传票传唤
vrvy	传入中原
iujq	川陕军区
vujd	传世家徽折刀
vuvv	传输传真
vudb	传输电报
vudu	传输电视
vuuj	传输数据
vuxx	传输信息
vuvx	传输指令线
ityu	船艇运输
vtit	传统车体
vtjy	传统教育
vtvf	传统战法
iytu	穿云图
iyxj	穿云下降
izvy	船载支援
izvb	船载支援炮兵
vvdb	传真电报
vvtx	传真通信
izvj	创造战机
ijui	锤击式
ivbw	垂直包围
ivdl	垂直登陆
ivfv	垂直发射装置
ivgc	垂直高
ivhy	垂直航空摄影
ivhx	垂直航空照相
ivqj	垂直起降
ivql	垂直起落
ivqj	垂直起落飞机
ivtj	垂直突击
ivva	垂直障碍
ivvw	垂直障碍物
ivvv	垂直遮障
iqif	春秋常服
iqiv	春秋常服肩章
iqdd	春秋大刀
iyhj	春雨号驱逐舰
cibw	磁北
cbju	此兵家之胜
cbqi	此兵器
cidc	刺刀
cidk	刺钉
cgvy	此攻之灾也
chxl	磁航向
cjxj	刺激性毒剂
ckjk	次口径
ckjd	次口径穿甲弹
ckjd	次口径炮弹
clji	磁力计
clty	磁力探测仪
cmgy	此谋攻之法也
cpjn	磁偏角
cujz	刺杀基本动作
cuxl	刺杀训练
ciug	次声
cubc	次声波探测
cuwq	次声武器
ctyi	磁探仪
cwve	此五者
cxdl	磁性定时水雷
cxlw	磁性雷
cxul	磁性水雷
cyfx	次要防御方向
cyzx	次要作战方向
czwx	磁子午线
clbd	丛林斑点
clum	丛林数码
clwh	丛林王
clwh	丛林王号
cqxk	从球形
cuvf	从实战出发
csyj	从严
culs	粗垅
cutp	粗铁
chwx	摧毁卫星
chvd	摧毁战略导弹
cldj	催泪弹
clxj	催泪性毒剂
cysu	存速
cwvd	存亡之道
cyjj	村雨级驱逐舰
cvdd	村正短妖刀
czwv	村自为战
clmm	错乱密码
dbpo	大爆破
dbbc	打背包
dbjm	大部歼灭
diyb	打柴诱兵
ddnx	达达尼尔海峡
ddll	大当量
ddlv	大当量核爆炸
ddlq	大当量核武器
ddjq	大刀进行曲
ddcl	大地测量
dddm	大地点
ddjy	大地基础诸元
ddjd	大地基准制导
ddkd	大地控制点
ddvy	大敌之擒也
ddih	大队长
ddqj	大多驱逐舰
dfij	打反冲击
dfhc	大凤号
dgkz	大沽口
dgmo	大规模
dhlj	大后掠角
dhfg	大黄蜂
dhfj	大黄蜂战斗机
dhgr	打火管
djxk	大剑形
dqjy	大将军
domd	大金门岛
djqu	大军区
djqj	大军区级
dktx	打开天线
dkvx	打开制导天线
dkjk	大口径
dkjd	大口径枪弹
dlji	打捞救生船
dlui	大力士
dlgy	大量供应
dltx	打猎突袭
dals	大垅
dljx	大陆架
dlpg	大陆棚
dlxh	大陆性气候
dama	大马
dmug	大马士革
dmvw	大麻植物
damc	大贸
dmvh	达摩杖
dmdj	达姆弹
dplj	大批量飞机
dqcg	大气层
dqcy	大气层核试验
dqjx	大气激光通信
dqtc	大气探测
dqya	大气压
dqyc	大气遥感探测
dsgr	大散关
dsvi	打扫战场
duid	大生产运动
dsma	大司马
dtdl	打通道路
daww	大尉
dwld	大威力手枪弹
dxyl	大西洋壁垒
daxn	大校
dxlw	大型猎物
dxud	大型手工猎刀
dxyj	大型运输机
dxxz	大熊星座
daxq	大修
dxxi	大休息
dxxy	大休息地域
dyfb	打眼放炮
dysu	大要素
dyxk	大鹰型
dyuk	大元帅
dzbb	搭载步兵
dvzu	打炸阻
dvlt	大战略
dvmq	大桩门桥
dvmq	打桩门桥
dzul	大纵深理论
dzuy	大纵深战役
dddq	待渡地区
dfvt	待发状态
dfyd	绐俘诱敌
ddgs	代供
ddgr	代管
ddhc	代号
ddji	待机
djdy	待机地域
djdm	待机点
djhh	待机护航
djjd	待机歼敌
djuj	待机射击
djam	带甲十万
ddjy	带菌
djki	带菌昆虫
dmfu	待命发射
dmkb	待命开机值班
ddui	带式
duqn	带式桥
duvq	带式舟桥
dxvd	袋形阵地
dyvd	待用阵地
dydq	待运地区
dydy	待运地域
ddvj	待战
ddzi	代字
dbrh	担保人领回
ubdy	单表代替作业
ujbk	单兵
ubfh	单兵负荷
ubfl	单兵负荷量
ubhj	单兵火箭
ubwc	单兵伪装器材
ubwq	单兵武器
ubvb	单兵装备
djch	弹仓
dcfa	弹测法
djih	弹长
